Track Name,Artist,Album,Release Date,Popularity,Streams,Rank,Platform,Source,Updated At
Hurry Up Tomorrow,The Weeknd,Hurry Up Tomorrow,2025-01-31,74,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Timeless (feat. Playboi Carti),The Weeknd,Timeless,2024-09-27,86,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
APT.,ROSÉ,APT.,2024-10-18,95,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,96,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Dil Behkaaye,maahi,Dil Behkaaye,2025-03-17,50,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
I Know,Rockstar Rajat,I Know,2023-02-13,23,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Whatcha Need?,Ndee Kundu,Whatcha Need?,2025-01-13,58,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Meri Jaan,Ojas Joshi,Meri Jaan,2024-11-23,23,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,2023-07-28,87,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
blue,yung kai,blue,2024-08-02,32,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Kuch Kaho Na,Abhishek Singh,Kuch Kaho Na,2024-08-19,22,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Safar,Rockstar Rajat,Safar,2023-05-23,24,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Pendulum,Panther,Pendulum,2025-03-06,46,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Kaisi Khumari Phir Se,Abhishek Singh,Kaisi Khumari Phir Se,2024-11-29,26,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Run It Up,Hanumankind,Run It Up,2025-03-06,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
São Paulo (feat. Anitta),The Weeknd,Hurry Up Tomorrow,2025-01-31,86,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
God's Plan,Drake,Scorpion,2018-06-29,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Darda Dil,Dr Neeta Pandey Negi,Darda Dil,2025-02-09,28,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Tere Bin,Rockstar Rajat,Tere Bin,2022-12-16,22,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Khabar Hai Kya,Abhishek Singh,Khabar Hai Kya,2023-10-01,12,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-19,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
luther (with sza),Kendrick Lamar,GNX,2024-11-22,93,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
We Still Don't Trust You,Future,WE STILL DON'T TRUST YOU,2024-04-12,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Aasman,Five YearsFromNow,Aasman,2025-02-14,35,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Reminder,The Weeknd,Starboy,2016-11-25,82,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Love Kardi,Rockstar Rajat,Love Kardi,2021-12-24,19,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Kaisi Khumari,Abhishek Singh,Kaisi Khumari,2022-07-06,20,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Jhol,Maanu,Jhol,2024-06-14,81,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Aaj Ki Raat (From ""Stree 2"")",Sachin-Jigar,"Aaj Ki Raat (From ""Stree 2"")",2024-07-24,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Blinding Lights,The Weeknd,After Hours,2020-03-20,88,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Big Dawgs,Hanumankind,Big Dawgs,2024-07-09,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23,89,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Kaisa Sama Hai Unplugged,Abhishek Singh,Kaisa Sama Hai Unplugged,2023-10-15,11,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Kaisa Sama Hai,Abhishek Singh,Kaisa Sama Hai,2019-06-11,17,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Wavy,Karan Aujla,Wavy,2024-11-15,79,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Sajni (From ""Laapataa Ladies"")",Ram Sampath,"Sajni (From ""Laapataa Ladies"")",2024-02-12,79,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Guru Ji Shukar Kara,Rockstar Rajat,Guru Ji Shukar Kara,2022-09-04,17,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
NEW DROP,Don Toliver,HARDSTONE PSYCHO,2024-06-14,85,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",2024-07-02,72,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
With You,AP Dhillon,With You,2023-08-11,71,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Wishes,Hasan Raheem,"Maybe, It's Love",2023-09-02,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Ud Chala Mai Chala,Abhishek Singh,Ud Chala Mai Chala,2019-01-07,18,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Husn,Anuv Jain,Husn,2023-12-01,77,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Please Please Please,Sabrina Carpenter,Short n' Sweet,2024-08-23,87,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Open Hearts,The Weeknd,Hurry Up Tomorrow,2025-01-31,82,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
redrum,21 Savage,american dream,2024-01-12,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
