Track Name,Artist,Album,Release Date,Popularity,Streams,Rank,Platform,Source,Updated At
Hurry Up Tomorrow,The Weeknd,Hurry Up Tomorrow,2025-01-31,74,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Dil Behkaaye,Maahi,Dil Behkaaye,2025-03-17,50,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
I Know,Rockstar Rajat,I Know,2023-02-13,23,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Whatcha Need?,Ndee Kundu,Whatcha Need?,2025-01-13,58,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Meri Jaan,Ojas Joshi,Meri Jaan,2024-11-23,23,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Fe!N (Feat. Playboi Carti),Travis Scott,UTOPIA,2023-07-28,87,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Kuch Kaho Na,Abhishek Singh,Kuch Kaho Na,2024-08-19,22,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Safar,Rockstar Rajat,Safar,2023-05-23,24,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Pendulum,Panther,Pendulum,2025-03-06,46,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Kaisi Khumari Phir Se,Abhishek Singh,Kaisi Khumari Phir Se,2024-11-29,26,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
São Paulo (Feat. Anitta),The Weeknd,Hurry Up Tomorrow,2025-01-31,86,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
God'S Plan,Drake,Scorpion,2018-06-29,83,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Darda Dil,Dr Neeta Pandey Negi,Darda Dil,2025-02-09,28,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Tere Bin,Rockstar Rajat,Tere Bin,2022-12-16,22,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Khabar Hai Kya,Abhishek Singh,Khabar Hai Kya,2023-10-01,12,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-19,75,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
We Still Don'T Trust You,Future,WE STILL DON'T TRUST YOU,2024-04-12,75,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Aasman,Five Yearsfromnow,Aasman,2025-02-14,35,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Love Kardi,Rockstar Rajat,Love Kardi,2021-12-24,19,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Kaisi Khumari,Abhishek Singh,Kaisi Khumari,2022-07-06,20,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Jhol,Maanu,Jhol,2024-06-14,81,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Aaj Ki Raat (From ""Stree 2"")",Sachin-Jigar,"Aaj Ki Raat (From ""Stree 2"")",2024-07-24,78,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,83,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Kaisa Sama Hai Unplugged,Abhishek Singh,Kaisa Sama Hai Unplugged,2023-10-15,11,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Kaisa Sama Hai,Abhishek Singh,Kaisa Sama Hai,2019-06-11,17,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Wavy,Karan Aujla,Wavy,2024-11-15,79,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Sajni (From ""Laapataa Ladies"")",Ram Sampath,"Sajni (From ""Laapataa Ladies"")",2024-02-12,79,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Guru Ji Shukar Kara,Rockstar Rajat,Guru Ji Shukar Kara,2022-09-04,17,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
New Drop,Don Toliver,HARDSTONE PSYCHO,2024-06-14,85,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",2024-07-02,72,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
With You,Ap Dhillon,With You,2023-08-11,71,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Wishes,Hasan Raheem,"Maybe, It's Love",2023-09-02,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Ud Chala Mai Chala,Abhishek Singh,Ud Chala Mai Chala,2019-01-07,18,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Husn,Anuv Jain,Husn,2023-12-01,77,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Open Hearts,The Weeknd,Hurry Up Tomorrow,2025-01-31,82,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Millionaire,Yo Yo Honey Singh,Glory,2024-08-26,78,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Tera Chehra,Arijit Singh,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,77,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Tainu Khabar Nahi - From ""Munjya""",Sachin-Jigar,"Tainu Khabar Nahi (From ""Munjya"")",2024-05-31,76,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Tenu Sang Rakhna,Achint,Jigra,2024-10-15,67,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
